,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Specialist Enchants,,,,,,,,,Protection,,,,,,Health,,,,,,Speed,,,,Armor Attribrutes,,,,,,,,,Weapon Base Stats,,,,,,Durability,,,,Melee Enchants,,,,,,,,,,,,,,Ranged Enchants,,,,,,,,,,,Tool Enchants,,,,,,,,,Water,,,,,,Misc.,,,,,,,,,,,,,Curses,,,,Epic Enchants,,,,,Indexing,,,,,Stored Values,
,Sword of the Exiled,Isles,Epic,Mainhand Sword,Diamond Sword,Isles Delves,,,,,,+10% Speed,,"11.0 Attack Damage
1.8 Attack Speed",Unbreakable,Sweeping Edge 3,,,,,,Arcane Thrust 3,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,11.0,1.8,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,13,43,,+10%,,13,43
,Ire of the Gods,Isles,Epic,Crossbow,Crossbow,Hekawt,,,,,,,,"26.0 Proj Damage
3.0 Proj Speed",Mending,,"Infinity
Recoil 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,3.0,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,42,,,,13,42
,Consumption,Isles,Artifact,Helmet,Chainmail Helmet,Hekawt,5.5,,Poise 1,,"Regen 1
Life Drain 1",,,,Mending,,,,,,Corruption,,,,,1,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,,12,42
,Creation,Isles,Artifact,Bow,Bow,Hekawt,,,,,Regen 3,,,"20.0 Proj Damage
1.0 Proj Speed",Unbreaking 5,,"Ice Aspect 2
Thunder Aspect 10",,,,Corruption,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,20.0,1.0,,5,,,,,,,,,,,,,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,,12,42
,Departure,Isles,Artifact,Chestplate,Leather Chestplate,Hekawt,,9,,Feather Falling 2,,Adrenaline 3,+10% Attack Damage,,Unbreaking 9,,,,,,Corruption,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,+10%,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,,12,42
,Eternity,Isles,Artifact,Leggings,Iron Leggings,Hekawt,9.5,,,Fire Prot. 4,,+0.02 Speed,,,Unbreaking 5,,,,,,Corruption,,,,,,,,,,,,,,,,,4,,,,,,,,+0.02,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,+23%,,12,42
,Evening Star,Isles,Artifact,Offhand Sword,Diamond Sword,Hekawt,,6,,,,,"+60% Attack Damage
-15% Attack Speed",,Unbreakable,,,,,,Corruption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+60%,,-15%,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,-15%,12,42
,Rapture,Isles,Artifact,Chestplate,Iron Chestplate,Hekawt,6.5,,,"Melee Prot. 1
Magic Prot. 1",Sustenance 2,,"+10% Attack Damage
+10% Magic Damage",,Unbreaking 4,,,,,,Corruption,,,,,,,,,,,,,1,,1,,,,,,,,2,,,,,,+10%,,,+10%,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,,12,42
,Transcendence,Isles,Artifact,Helmet,Player Head,Hekawt,,6,Ethereal 1,,,,+20% Magic Damage,,,,,,,,Corruption,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,+20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,,12,42
,Vehemence,Isles,Artifact,Leggings,Leather Leggings,Hekawt,,7.5,Evasion 2,Blast Prot. 2,,,,,Unbreaking 9,,,,,,Corruption,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,42,,,,12,42
,Frost Giant's Crescent,Isles,Epic,Scythe,Iron Hoe,Eldrask,,,Shielding 1,,,,,"21.0 Attack Damage
0.7 Attack Speed",Unbreakable,Ice Aspect 3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,0.7,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,,,,13,41
,Frost Giant's Crusher,Isles,Epic,Axe,Iron Axe,Eldrask,,,Shielding 1,,,,,"25.0 Attack Damage
0.6 Attack Speed",Unbreakable,"Ice Aspect 3
Knockback 1",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,0.6,,,,,,1,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,,,,13,41
,Frost Giant's Greatsword,Isles,Epic,Mainhand Sword,Iron Sword,Eldrask,,,Shielding 1,,,,,"22.0 Attack Damage
0.7 Attack Speed",Unbreakable,"Ice Aspect 3
Sweeping Edge 1",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.7,,,,,,1,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,,,,13,41
,Frost Giant's Staff,Isles,Epic,Wand,Bone,Eldrask,,,Shielding 1,,,,,"+50% Spell Power
17.5 Attack Damage
0.8 Attack Speed",Unbreakable,"Ice Aspect 3
Knockback 1",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+50%,17.5,0.8,,,,,,1,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,41,,,,13,41
,Alric's Eyegouger,Isles,Artifact,Offhand Sword,Stone Sword,Eldrask,4.5,,,Magic Prot. 3,+2 Max Health,,+15% Magic Damage,,Unbreakable,,,,,Regicide 1,Corruption,,,,,,,,,,,,,,,3,,,,+2,,,,,,,,,,,,,+15%,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,12,41,10,,,12,41
,Boreas Mattock,Isles,Artifact,Pickaxe,Iron Pickaxe,Eldrask,,,,,,,,"4.0 Attack Damage
1.2 Attack Speed",Unbreaking 5,Ice Aspect 1,,"Efficiency 4
Eruption 2",,,Corruption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.2,,,,5,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,,,,12,41
,Crest of the Tundra,Isles,Artifact,Helmet,Leather Helmet,Eldrask,,11,,"Magic Prot. 1
Feather Falling 1",,,,,Unbreaking 15,,,,,,Corruption,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,,,,12,41
,Heart of the Hero,Isles,Artifact,Chestplate,Iron Chestplate,Eldrask,8,,,,+4 Max Health,,+0.10 Attack Speed,,Unbreaking 5,,,,,,Corruption,,,,,,,,,,,,,,,,,,,+4,,,,,,,,,,,+0.10,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,20,,+8%,12,41
,Hiemal Robes,Isles,Artifact,Leggings,Leather Leggings,Eldrask,,6,,,+4 Max Health,,,,Unbreaking 9,,,,,Second Wind 2,Corruption,,,,,,,,,,,,,,,,,,,+4,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,12,41,20,,,12,41
,Icicle Greaves,Isles,Artifact,Leggings,Iron Leggings,Eldrask,5.5,,,Melee Prot. 4,,,"+20% Attack Damage
+4 Thorns
+25% Thorns Damage",,Unbreaking 4,,,,,,Corruption,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,+20%,,,,,,,+4,+25%,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,,,,12,41
,Old Ice Brogues,Isles,Artifact,Boots,Iron Boots,Eldrask,7.5,,Steadfast 1,,,,+5.0 Knockback Res.,,Unbreaking 4,,,,,,Corruption,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,+5.0,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,,,,12,41
,Poet's Tome,Isles,Artifact,Offhand,Book,Eldrask,1.5,,Shielding 2,,+15% Max Health,+15% Speed,,,,,,,,,Corruption,,,,2,,,,,,,,,,,,,,,,+15%,,,,,,+15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,12,41,18.75,+15%,,12,41
,Orb of Winter,Isles,Uncommon,Throwable,Snowball,Eldrask,,,,,,,,"24.0 Proj Damage
1.0 Proj Speed
0.5 Throw Rate",,,Ice Aspect 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,41,,,,7,41
,Annilys,Isles,Epic,Mainhand,Music Disc,Depths,,,,,,,,,,,,,,,,Protection of the Depths,Stasis item,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,13,40,,,,13,40
,Soulsinger,Isles,Epic,Misc,Jukebox,Depths,,,,,,,,,,,,,,,,Protection of the Depths,Provides potion buffs daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,13,40,,,,13,40
,Angler's Lure,Isles,Artifact,Offhand,Soul Lantern,Depths,,5,Evasion 1,Projectile Prot. 2,,,+10% Proj Damage,,,,,,Abyssal 1,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,Cephalopodic Chains,Isles,Artifact,Leggings,Chainmail Leggings,Depths,5,,"Ethereal 1
Adaptability",,Regen 1,+10% Speed,,,Unbreaking 4,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,+10%,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,+10%,,12,40
,Dionaeas Graft,Isles,Artifact,Pickaxe,Iron Pickaxe,Depths,,,,,,,+6 Thorns,"4.0 Attack Damage
1.2 Attack Speed",Unbreaking 5,,,"Efficiency 2
Sapper 2
Eruption 3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+6,,,4.0,1.2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,Drifting Scales,Isles,Artifact,Boots,Chainmail Boots,Depths,,4,Tempo 2,Feather Falling 1,,-10% Speed,,,Mending,,,,Depth Strider 1,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,-10%,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,12,40,,-10%,,12,40
,Dryadic Temptation,Isles,Artifact,Offhand Sword,Wooden Sword,Depths,4,,Steadfast 1,,Anemia 2,,+25% Attack Damage,,Unbreakable,,,,,Second Wind 2,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,+25%,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,Earth's Maw,Isles,Artifact,Helmet,Player Head,Depths,,5.5,"Poise 1
Adaptability",Projectile Prot. 1,Sustenance 1,+10% Speed,,,,,,,,,,,,,,1,,,,,,,1,,1,,,,,,,,,1,,,+10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,+10%,,12,40
,Energized Maelstrom,Isles,Artifact,Mainhand Sword,Iron Sword,Depths,,,,,,,+15% Magic Damage,"11.5 Attack Damage
1.6 Attack Speed",Unbreaking 5,Sweeping Edge 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+15%,,,,,,,11.5,1.6,,,,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,Firecoral Lance,Isles,Artifact,Trident,Trident,Depths,,,,,,,,"12.0 Attack Damage
1.2 Attack Speed
12.0 Proj Damage
0.8 Proj Speed
1.1 Throw Rate",Mending,Fire Aspect 4,,,,Inferno 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,1.2,12.0,0.8,1.1,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,K'x'aehdd,Isles,Artifact,Crossbow,Crossbow,Depths,,,,,,,,"18.0 Proj Damage
1.2 Proj Speed",Unbreaking 4,,Quick Charge 2,,,Regicide 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,1.2,,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,Lieutenant's Storm,Isles,Artifact,Boots,Iron Boots,Depths,,5,Evasion 1,,,,+20% Proj Damage,,Unbreaking 4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,+20%,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,Mu'xro'hkr,Isles,Artifact,Offhand Shield,Shield,Depths,1.5,1.5,"Poise 1
Tempo 1
Adaptability",,,,,,Mending,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,Phlogiston Fissure,Isles,Artifact,Scythe,Iron Hoe,Depths,,,,,,,,"13.0 Attack Damage
1.2 Attack Speed",Unbreaking 3,"Fire Aspect 2
Quake 1",,,,Inferno 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.2,,,,3,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,Pyrrhic Greaves,Isles,Artifact,Leggings,Golden Leggings,Depths,7,,,Magic Prot. 1,,,+10% Attack Damage,,Unbreaking 8,,,,,Inferno 2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,+10%,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,Rootweave Diadem,Isles,Artifact,Helmet,Chainmail Helmet,Depths,8.5,,,"Projectile Prot. 1
Magic Prot. 3",,,,,Unbreaking 4,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,Seeker's Pursuit,Isles,Artifact,Leggings,Leather Leggings,Depths,,6,,Fire Prot. 2,,+15% Speed,+18% Magic Damage,,Unbreaking 9,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,+15%,,,,,,+18%,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,+15%,,12,40
,Shroud of Sea and Sky,Isles,Artifact,Chestplate,Leather Chestplate,Depths,6,,Inure 1,"Projectile Prot. 1
Magic Prot. 1
Blast Prot. 1",,,,,Unbreaking 12,,,,,,,,,,,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,,,12,40
,Veil's Horizon,Isles,Artifact,Chestplate,Chainmail Chestplate,Depths,,6,Evasion 1,,+2 Max Health,Crippling 2,"+10% Magic Damage
+10% Proj Damage",,Unbreaking 5,,,,,,,,,,,,,,,,1,,,,,,,,,+2,,,,,,,,,2,,,,+10%,+10%,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,10,,,12,40
,Wildthorn Crescent,Isles,Artifact,Bow,Bow,Depths,,,,,,+10% Speed,+15% Magic Damage,"20.0 Proj Damage
1.5 Proj Speed",Unbreaking 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+10%,,,,,,+15%,,,,,,,,,20.0,1.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,40,,+10%,,12,40
,Silverthread Raiment,Isles,Epic,Chestplate,Iron Chestplate,Remorse,,7,,Magic Prot. 2,"-2 Max Health
Regen 1",,,,Unbreakable,,,,,Aptitude 2,,,,,,,,,,,,,,,,2,,,,-2,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,13,39,-10,,,13,39
,Blackflame Gauntlet,Isles,Artifact,Wand,Nether Brick,Remorse,,,Poise 1,,,,,"+50% Spell Power
6.0 Attack Damage
4.0 Attack Speed",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+50%,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,12,39
,Blackflame Remains,Isles,Artifact,Helmet,Player Head,Remorse,,5.5,,Projectile Prot. 4,,,+15% Proj Damage,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,+15%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,39,,,,12,39
